x,NC,CS,OC
43.2,13.0393,6.7506,-2.3862
43.3,13.0421,6.7521,-2.3874
43.4,13.0447,6.7536,-2.3885
43.5,13.0473,6.7551,-2.3896
43.6,13.0499,6.7565,-2.3907
43.7,13.0524,6.7579,-2.3918
43.8,13.0549,6.7593,-2.3928
43.9,13.0573,6.7606,-2.3938
44,13.0596,6.7619,-2.3948
44.1,13.0619,6.7632,-2.3957
44.2,13.0641,6.7645,-2.3966
44.3,13.0663,6.7658,-2.3975
44.4,13.0684,6.767,-2.3984
44.5,13.0705,6.7682,-2.3993
44.6,13.0725,6.7694,-2.4001
44.7,13.0744,6.7706,-2.4009
44.8,13.0763,6.7717,-2.4017
44.9,13.0781,6.7728,-2.4025
45,13.0799,6.774,-2.4032
45.1,13.0816,6.775,-2.404
45.2,13.0833,6.7761,-2.4047
45.3,13.0849,6.7772,-2.4054
45.4,13.0864,6.7782,-2.406
45.5,13.0879,6.7792,-2.4067
45.6,13.0894,6.7802,-2.4073
45.7,13.0907,6.7812,-2.4079
45.8,13.0921,6.7822,-2.4085
45.9,13.0933,6.7832,-2.4091
46,13.0945,6.7841,-2.4097
46.1,13.0957,6.7851,-2.4102
46.2,13.0968,6.786,-2.4108
46.3,13.0978,6.7869,-2.4113
46.4,13.0988,6.7878,-2.4118
46.5,13.0997,6.7887,-2.4123
46.6,13.1006,6.7895,-2.4127
46.7,13.1014,6.7904,-2.4132
46.8,13.1022,6.7913,-2.4136
46.9,13.1029,6.7921,-2.4141
47,13.1036,6.7929,-2.4145
47.1,13.1042,6.7938,-2.4149
47.2,13.1047,6.7946,-2.4153
47.3,13.1052,6.7954,-2.4157
47.4,13.1057,6.7962,-2.416
47.5,13.1061,6.797,-2.4164
47.6,13.1065,6.7977,-2.4168
47.7,13.1068,6.7985,-2.4171
47.8,13.1071,6.7993,-2.4174
47.9,13.1074,6.8,-2.4177
48,13.1076,6.8008,-2.4181
48.1,13.1077,6.8015,-2.4184
48.2,13.1079,6.8023,-2.4187
48.3,13.108,6.803,-2.4189
48.4,13.108,6.8037,-2.4192
48.5,13.108,6.8045,-2.4195
48.6,13.108,6.8052,-2.4198
48.7,13.108,6.8059,-2.42
48.8,13.1079,6.8066,-2.4203
48.9,13.1078,6.8073,-2.4205
49,13.1077,6.808,-2.4208
49.1,13.1076,6.8087,-2.421
49.2,13.1074,6.8094,-2.4213
49.3,13.1072,6.8101,-2.4215
49.4,13.107,6.8108,-2.4218
49.5,13.1068,6.8115,-2.422
49.6,13.1066,6.8122,-2.4222
49.7,13.1063,6.8129,-2.4224
49.8,13.1061,6.8136,-2.4227
49.9,13.1058,6.8143,-2.4229
50,13.1056,6.8149,-2.4231
50.0841,13.1054,,
