x,OC,CS,NC
5.79,461.67,650.19,671.7
5.8,462.37,650.19,671.61
5.81,463.06,650.18,671.52
5.82,463.76,650.18,671.43
5.83,464.45,650.18,671.34
5.84,465.14,650.17,671.25
5.85,465.83,650.17,671.16
5.86,466.51,650.17,671.07
5.87,467.2,650.17,670.98
5.88,467.88,650.16,670.89
5.89,468.56,650.16,670.8
5.9,469.24,650.16,670.71
5.91,469.92,650.15,670.62
5.92,470.6,650.15,670.53
5.93,471.28,650.15,670.44
5.94,471.95,650.14,670.36
5.95,472.63,650.14,670.27
5.96,473.3,650.14,670.18
5.97,473.97,650.13,670.09
5.98,474.64,650.13,670
5.99,475.31,650.13,669.91
6,475.97,650.13,669.82
6.01,476.64,650.12,669.73
6.02,477.3,650.12,669.65
6.03,477.96,650.12,669.56
6.04,478.62,650.11,669.47
6.05,479.28,650.11,669.38
6.06,479.94,650.11,669.29
6.07,480.6,650.1,669.2
6.08,481.25,650.1,669.12
6.09,481.91,650.1,669.03
6.1,482.56,650.09,668.94
6.11,483.21,650.09,668.85
6.12,483.86,650.09,668.76
6.13,484.51,650.09,668.67
6.14,485.16,650.08,668.59
6.15,485.8,650.08,668.5
6.16,486.45,650.08,668.41
6.17,487.09,650.07,668.32
6.18,487.74,650.07,668.23
6.19,488.38,650.07,668.14
6.2,489.02,650.06,668.06
6.21,489.65,650.06,667.97
6.22,490.29,650.06,667.88
6.23,490.93,650.05,667.79
6.24,491.56,650.05,667.7
6.25,492.2,650.05,667.61
6.26,492.83,650.05,667.53
6.27,493.46,650.04,667.44
6.28,494.09,650.04,667.35
6.29,494.72,650.04,667.26
6.3,495.35,650.03,667.17
6.31,495.97,650.03,667.08
6.32,496.6,650.03,666.99
6.33,497.22,650.02,666.9
6.34,497.85,650.02,666.81
6.35,498.47,650.02,666.72
6.36,499.09,650.01,666.63
6.37,499.71,650.01,666.54
6.38,500.33,650.01,666.45
6.39,500.94,650.01,666.36
6.4,501.56,650,666.27
6.41,502.17,650,666.18
6.42,502.79,650,666.09
6.43,503.4,649.99,666
6.44,504.01,649.99,665.91
6.45,504.62,649.99,665.82
6.46,505.23,649.98,665.73
6.47,505.84,649.98,665.64
6.48,506.45,649.98,665.55
6.49,507.05,649.97,665.45
6.5,507.66,649.97,665.36
6.51,508.26,649.97,665.27
6.52,508.87,649.97,665.18
6.53,509.47,649.96,665.08
6.54,510.07,649.96,664.99
6.55,510.66,649.96,664.9
6.56,511.26,649.95,664.8
6.57,511.86,649.95,664.71
6.58,512.45,649.95,664.62
6.59,513.05,649.94,664.52
6.6,513.64,649.94,664.43
6.61,514.23,649.94,664.33
6.62,514.82,649.93,664.23
6.63,515.41,649.93,664.14
6.64,515.99,649.93,664.04
6.65,516.58,649.93,663.94
6.66,517.16,649.92,663.85
6.67,517.75,649.92,663.75
6.68,518.33,649.92,663.65
6.69,518.91,649.91,663.55
6.7,519.49,649.91,663.46
6.71,520.07,649.91,663.36
6.72,520.64,649.9,663.26
6.73,521.22,649.9,663.16
6.74,521.79,649.9,663.06
6.75,522.36,649.89,662.96
6.76,522.93,649.89,662.86
6.77,523.5,649.89,662.77
6.78,524.07,649.89,662.67
6.79,524.64,649.88,662.57
6.8,525.2,649.88,662.47
6.81,525.77,649.88,662.37
6.82,526.33,649.87,662.27
6.83,526.89,649.87,662.17
6.84,527.45,649.87,662.07
6.85,528.01,649.86,661.98
6.86,528.57,649.86,661.88
6.87,529.12,649.86,661.78
6.88,529.68,649.85,661.68
6.89,530.23,649.85,661.59
6.9,530.78,649.85,661.49
6.91,531.33,649.85,661.39
6.92,531.88,649.84,661.3
6.93,532.43,649.84,661.2
6.94,532.97,649.84,661.11
6.95,533.52,649.83,661.01
6.96,534.06,649.83,660.92
6.97,534.6,649.83,660.82
6.98,535.14,649.82,660.73
6.99,535.68,649.82,660.64
7,536.22,649.82,660.55
7.01,536.75,649.81,660.46
7.02,537.29,649.81,660.37
7.03,537.82,649.81,660.28
7.04,538.35,649.81,660.19
7.05,538.88,649.8,660.1
7.06,539.41,649.8,660.01
7.07,539.94,649.8,659.92
7.08,540.46,649.79,659.84
7.09,540.99,649.79,659.75
7.1,541.51,649.79,659.66
7.11,542.03,649.78,659.58
7.12,542.55,649.78,659.5
7.13,543.07,649.78,659.41
7.14,543.59,649.77,659.33
7.15,544.1,649.77,659.25
7.16,544.62,649.77,659.17
7.17,545.13,649.77,659.09
7.18,545.64,649.76,659.01
7.19,546.15,649.76,658.93
7.2,546.66,649.76,658.86
7.21,547.17,649.75,658.78
7.22,547.68,649.75,658.7
7.23,548.18,649.75,658.63
7.24,548.68,649.74,658.56
7.25,549.19,649.74,658.48
7.26,549.69,649.74,658.41
7.27,550.19,649.73,658.34
7.28,550.68,649.73,658.27
7.29,551.18,649.73,658.2
7.3,551.67,649.73,658.13
7.31,552.17,649.72,658.06
7.32,552.66,649.72,657.99
7.33,553.15,649.72,657.92
7.34,553.64,649.71,657.86
7.35,554.13,649.71,657.79
7.36,554.62,649.71,657.73
7.37,555.1,649.7,657.66
7.38,555.59,649.7,657.6
7.39,556.07,649.7,657.54
7.4,556.55,649.69,657.48
7.41,557.03,649.69,657.41
7.42,557.51,649.69,657.35
7.43,557.99,649.69,657.29
7.44,558.46,649.68,657.24
7.45,558.94,649.68,657.18
7.46,559.41,649.68,657.12
7.47,559.88,649.67,657.06
7.48,560.35,649.67,657.01
7.49,560.82,649.67,656.95
7.5,561.29,649.66,656.9
7.51,561.76,649.66,656.84
7.52,562.22,649.66,656.79
7.53,562.68,649.65,656.73
7.54,563.15,649.65,656.68
7.55,563.61,649.65,656.63
7.56,564.06,649.65,656.58
7.57,564.52,649.64,656.53
7.58,564.98,649.64,656.48
7.59,565.43,649.64,656.43
7.6,565.88,649.63,656.38
7.61,566.34,649.63,656.33
7.62,566.79,649.63,656.28
7.63,567.23,649.62,656.24
7.64,567.68,649.62,656.19
7.65,568.12,649.62,656.14
7.66,568.57,649.61,656.1
7.67,569.01,649.61,656.05
7.68,569.45,649.61,656.01
7.69,569.89,649.61,655.97
7.7,570.32,649.6,655.92
7.71,570.76,649.6,655.88
7.72,571.19,649.6,655.84
7.73,571.62,649.59,655.79
7.74,572.05,649.59,655.75
7.75,572.48,649.59,655.71
7.76,572.91,649.58,655.67
7.77,573.33,649.58,655.63
7.78,573.76,649.58,655.59
7.79,574.18,649.57,655.55
7.8,574.6,649.57,655.51
7.81,575.01,649.57,655.47
7.82,575.43,649.57,655.44
7.83,575.84,649.56,655.4
7.84,576.25,649.56,655.36
7.85,576.66,649.56,655.33
7.86,577.07,649.55,655.29
7.87,577.48,649.55,655.25
7.88,577.88,649.55,655.22
7.89,578.29,649.54,655.18
7.9,578.69,649.54,655.15
7.91,579.09,649.54,655.11
7.92,579.48,649.53,655.08
7.93,579.88,649.53,655.05
