x,OC,CS,NC
6.9,501.341,483.83,481.876
6.91,501.283,483.838,481.892
6.92,501.225,483.847,481.907
6.93,501.166,483.855,481.923
6.94,501.108,483.863,481.938
6.95,501.049,483.871,481.953
6.96,500.99,483.879,481.969
6.97,500.932,483.887,481.984
6.98,500.873,483.895,482
6.99,500.814,483.903,482.015
7,500.755,483.91,482.03
7.01,500.696,483.918,482.046
7.02,500.638,483.925,482.061
7.03,500.579,483.932,482.077
7.04,500.52,483.939,482.093
7.05,500.461,483.946,482.108
7.06,500.402,483.953,482.124
7.07,500.342,483.96,482.14
7.08,500.283,483.967,482.156
7.09,500.224,483.974,482.172
7.1,500.165,483.98,482.188
7.11,500.106,483.987,482.205
7.12,500.047,483.993,482.222
7.13,499.988,483.999,482.239
7.14,499.929,484.005,482.256
7.15,499.87,484.011,482.274
7.16,499.811,484.017,482.292
7.17,499.752,484.023,482.31
7.18,499.693,484.029,482.329
7.19,499.634,484.035,482.348
7.2,499.575,484.04,482.367
7.21,499.516,484.046,482.386
7.22,499.458,484.051,482.406
7.23,499.399,484.057,482.425
7.24,499.34,484.062,482.445
7.25,499.281,484.067,482.465
7.26,499.223,484.072,482.484
7.27,499.164,484.077,482.503
7.28,499.106,484.082,482.522
7.29,499.048,484.087,482.54
7.3,498.989,484.091,482.558
7.31,498.931,484.096,482.575
7.32,498.873,484.101,482.591
7.33,498.815,484.105,482.607
7.34,498.757,484.109,482.622
7.35,498.699,484.114,482.636
7.36,498.641,484.118,482.65
7.37,498.584,484.122,482.662
7.38,498.526,484.126,482.674
7.39,498.469,484.13,482.686
7.4,498.411,484.134,482.697
7.41,498.354,484.138,482.707
7.42,498.297,484.141,482.717
7.43,498.24,484.145,482.726
7.44,498.184,484.149,482.735
7.45,498.127,484.152,482.744
7.46,498.071,484.155,482.752
7.47,498.014,484.159,482.76
7.48,497.958,484.162,482.767
7.49,497.902,484.165,482.774
7.5,497.847,484.168,482.781
7.51,497.791,484.171,482.788
7.52,497.735,484.174,482.794
7.53,497.68,484.177,482.8
7.54,497.625,484.18,482.806
7.55,497.57,484.183,482.812
7.56,497.516,484.186,482.818
7.57,497.461,484.188,482.823
7.58,497.407,484.191,482.828
7.59,497.353,484.193,482.833
7.6,497.299,484.196,482.838
7.61,497.246,484.198,482.843
7.62,497.192,484.2,482.848
7.63,497.139,484.202,482.853
7.64,497.087,484.205,482.857
7.65,497.034,484.207,482.861
7.66,496.982,484.209,482.866
7.67,496.93,484.211,482.87
7.68,496.878,484.212,482.874
7.69,496.827,484.214,482.878
7.7,496.775,484.216,482.882
7.71,496.724,484.218,482.886
7.72,496.674,484.219,482.889
7.73,496.623,484.221,482.893
7.74,496.573,484.222,482.897
7.75,496.523,484.224,482.9
7.76,496.474,484.225,482.904
7.77,496.424,484.227,482.907
7.78,496.375,484.228,482.911
7.79,496.327,484.229,482.914
7.8,496.278,484.23,482.917
7.81,496.23,484.231,482.92
7.82,496.182,484.232,482.924
7.83,496.134,484.233,482.927
7.84,496.087,484.234,482.93
7.85,496.039,484.235,482.933
7.86,495.993,484.236,482.936
7.87,495.946,484.237,482.939
7.88,495.9,484.238,482.942
7.89,495.853,484.238,482.944
7.9,495.808,484.239,482.947
7.91,495.762,484.24,482.95
7.92,495.717,484.24,482.953
7.93,495.672,484.241,482.956
7.94,495.627,484.241,482.958
7.95,495.582,484.241,482.961
7.96,495.538,484.242,482.964
7.97,495.494,484.242,482.966
7.98,495.45,484.242,482.969
7.99,495.407,484.242,482.971
8,495.364,484.243,482.974
8.01,495.321,484.243,482.976
8.02,495.278,484.243,482.979
8.03,495.236,484.243,482.981
8.04,495.194,484.243,482.984
8.05,495.152,484.243,482.986
8.06,495.11,484.242,482.988
8.07,495.069,484.242,482.991
8.08,495.027,484.242,482.993
8.09,494.987,484.242,482.995
8.1,494.946,484.242,482.998
8.11,494.905,484.241,483
8.12,494.865,484.241,483.002
8.13,494.825,484.24,483.005
8.14,494.786,484.24,483.007
8.15,494.746,484.24,483.009
8.16,494.707,484.239,483.011
8.17,494.668,484.238,483.013
8.18,494.63,484.238,483.016
8.19,494.591,484.237,483.018
8.2,494.553,484.237,483.02
8.21,494.515,484.236,483.022
8.22,494.477,484.235,483.024
8.23,494.44,484.234,483.026
8.24,494.403,484.233,483.028
8.25,494.366,484.233,483.03
8.26,494.329,484.232,483.032
8.27,494.292,484.231,483.034
8.28,494.256,484.23,483.036
8.29,494.22,484.229,483.038
8.3,494.184,484.228,483.04
8.31,494.148,484.227,483.042
8.32,494.113,484.226,483.044
8.33,494.078,484.225,483.046
8.34,494.043,484.224,483.048
8.35,494.008,484.222,483.05
8.36,493.973,484.221,483.052
8.37,493.939,484.22,483.054
8.38,493.905,484.219,483.056
8.39,493.871,484.217,483.058
8.4,493.837,484.216,483.06
8.41,493.803,484.215,483.062
8.42,493.77,484.213,483.064
8.43,493.737,484.212,483.065
8.44,493.704,484.211,483.067
8.45,493.671,484.209,483.069
8.46,493.639,484.208,483.071
8.47,493.606,484.206,483.073
8.48,493.574,484.205,483.075
8.49,493.542,484.203,483.077
8.5,493.51,484.202,483.078
8.51,493.479,484.2,483.08
8.52,493.447,484.198,483.082
8.53,493.416,484.197,483.084
8.54,493.385,484.195,483.086
8.55,493.354,484.193,483.087
8.56,493.323,484.192,483.089
8.57,493.293,484.19,483.091
8.58,493.262,484.188,483.093
8.59,493.232,484.186,483.094
8.6,493.202,484.185,483.096
8.61,493.172,484.183,483.098
8.62,493.142,484.181,483.1
8.63,493.113,484.179,483.101
8.64,493.083,484.177,483.103
8.65,493.054,484.175,483.105
8.66,493.025,484.173,483.107
8.67,492.996,484.171,483.108
8.68,492.967,484.169,483.11
8.69,492.938,484.168,483.112
8.7,492.909,484.166,483.113
8.71,492.881,484.164,483.115
8.72,492.853,484.162,483.117
8.73,492.824,484.159,483.118
8.74,492.796,484.157,483.12
